a52dec 0.7.4-11
python-pyqt5 5.15.7-1
python-pyqt5-sip 12.11.0-1
python-pyqt5-webengine 5.15.6-1
python-requests 2.27.1-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setuptools 1:61.3.1-1
python-six 1.16.0-5
python-toml 0.10.2-7
python-tomli 2.0.1-1
python-trove-classifiers 2022.5.19-1
python-urllib3 1.26.9-1
python-validate-pyproject 0.9-1
python-webencodings 0.5.1-9
python-yaml 6.0-1
qruler-git r1.433894f-1
qt5-base 5.15.5+kde+r163-1
qt5-charts 5.15.5+kde+r1-1
qt5-declarative 5.15.5+kde+r19-1
qt5-graphicaleffects 5.15.5+kde+r0-1
qt5-location 5.15.5+kde+r3-1
qt5-quickcontrols 5.15.5+kde+r0-1
qt5-quickcontrols2 5.15.5+kde+r5-1
qt5-sensors 5.15.5+kde+r0-1
qt5-svg 5.15.5+kde+r10-1
qt5-translations 5.15.5+kde+r2-1
qt5-webchannel 5.15.5+kde+r3-1
qt5-webengine 5.15.10-2
qt5-webkit 5.212.0alpha4-15
qt5-x11extras 5.15.5+kde+r0-1
qutebrowser 2.5.2-1
ranger 1.9.3-4
raptor 2.0.15-19
rasqal 1:0.9.33-5
rav1e 0.4.1-2
rclone 1.58.1-1
re2 1:20220601-1
readline 8.1.002-1
redland 1:1.0.17-8
redshift 1.12-5
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
ristretto 0.12.2-1
rofi 1.7.3-1
root 6.26.04-1
rsync 3.2.4-1
rtkit 0.13-1
rubberband 2.0.2-1
run-parts 5.5-1
sbc 1.5-2
scrot 1.7-1
sdl12-compat 1.2.52-2
sdl2 2.0.22-2
sed 4.8-1
semver 7.3.7-1
serd 0.30.12-2
shaderc 2022.1-4
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
slang 2.3.2-2
snappy 1.1.9-2
sord 0.16.10-2
sound-theme-freedesktop 0.8-5
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.1-1
spotify 1:1.1.72.439-3
sqlite 3.38.5-1
sratom 0.6.10-3
srt 1.5.0-1
starship 1.8.0-1
startup-notification 0.12-7
stremio 4.4.142-2
sudo 1.9.11.p3-1
surf 2.1-6
svt-av1 1.1.0-1
sysfsutils 2.1.1-1
systemd 251.2-1
systemd-libs 251.2-1
systemd-sysvcompat 251.2-1
t1lib 5.1.2-8
taglib 1.12-1
tar 1.34-1
tbb 2021.5.0-1
tdb 1.4.7-1
teams 1.5.00.10453-1
tex-gyre-fonts 2.501-2
texinfo 6.8-2
texlive-bibtexextra 2022.63023-1
texlive-bin 2022.62885-1
texlive-core 2022.63035-1
texlive-fontsextra 2022.62977-1
texlive-formatsextra 2022.62529-1
texlive-games 2022.62102-1
texlive-humanities 2022.62929-1
texlive-langgreek 2022.61820-1
texlive-latexextra 2022.63034-1
texlive-music 2022.62533-1
texlive-pictures 2022.62992-1
texlive-pstricks 2022.62977-1
texlive-publishers 2022.63013-1
texlive-science 2022.62977-1
thunar 4.16.11-2
thunderbird 91.10.0-1
timeshift 21.09.1-3
tpm2-tss 3.2.0-1
tracker3 3.3.1-1
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-fira-code 6.2-2
ttf-font-awesome 6.1.1-1
ttf-font-awesome-4 4.7.0-5
ttf-iosevka-nerd 2.1.0-2
ttf-mac-fonts 20100901.134-1
ttf-material-design-icons 4.0.0-1
ttf-material-design-icons-git v6.5.95.r0.g8cfdab3-1
ttf-mgopen 1.1-14
ttf-yosemite-san-francisco-font-git 1.0.r2.g5a6e8ca-1
tumbler 4.16.0-3
tzdata 2022a-1
uchardet 0.0.7-1
unixodbc 2.3.11-1
unzip 6.0-18
usbutils 014-2
util-linux 2.38-1
util-linux-libs 2.38-1
v4l-utils 1.22.1-1
vid.stab 1.1-3
vim 8.2.5046-2
vim-runtime 8.2.5046-2
vimb 3.6.0-2
virtualbox 6.1.34-4
virtualbox-host-dkms 6.1.34-4
vlc 3.0.17.4-6
vmaf 2.3.1-1
vte-common 0.68.0-2
vte3 0.68.0-2
vulkan-icd-loader 1.3.217-1
wayland 1.20.0-2
wayland-protocols 1.25-1
webkit2gtk 2.36.3-1
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
which 2.21-5
wmctrl 1.07-6
woff2 1.0.2-3
wpa_supplicant 2:2.10-4
wpebackend-fdo 1.12.0-2
x264 3:0.164.r3081.19856cc-2
x265 3.5-3
xapian-core 1:1.4.19-2
